Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...connected
[TFM/test/1], AA, -74, 18:51:38, DD, 38,    -67, 18:51:39, 
[TFM/test/1], AA, -74, 18:51:39, BB, 44,    -81, 18:51:39, 
[TFM/test/1], AA, -75, 18:51:40, HH, 81,    -63, 18:51:41, 
[TFM/test/1], AA, -75, 18:51:41, EE, 43,    -66, 18:51:41, 
[TFM/test/1], AA, -75, 18:51:44, FF, 44,    -68, 18:51:44, 
[TFM/test/1], AA, -75, 18:51:44, HH, 82,    -63, 18:51:45, 
[TFM/test/1], AA, -75, 18:51:46, AA, 42,    -75, 18:51:46, 
[TFM/test/1], AA, -76, 18:51:46, DD, 39,    -69, 18:51:47, 
[TFM/test/1], AA, -76, 18:51:47, BB, 45,    -81, 18:51:47, 
[TFM/test/1], AA, -76, 18:51:48, HH, 83,    -63, 18:51:49, 
[TFM/test/1], AA, -75, 18:51:49, EE, 44,    -65, 18:51:49, 
[TFM/test/1], AA, -76, 18:51:52, FF, 45,    -68, 18:51:52, 
[TFM/test/1], AA, -75, 18:51:52, HH, 84,    -63, 18:51:53, 
[TFM/test/1], AA, -74, 18:51:54, AA, 43,    -74, 18:51:54, 
[TFM/test/1], AA, -75, 18:51:54, DD, 40,    -67, 18:51:55, 
[TFM/test/1], AA, -75, 18:51:55, BB, 46,    -81, 18:51:55, 
[TFM/test/1], AA, -77, 18:51:56, HH, 85,    -63, 18:51:57, 
[TFM/test/1], AA, -76, 18:51:57, EE, 45,    -65, 18:51:57, 
[TFM/test/1], AA, -75, 18:52:00, FF, 46,    -68, 18:52:00, 
[TFM/test/1], AA, -75, 18:52:00, HH, 86,    -66, 18:52:01, 
[TFM/test/1], AA, -75, 18:52:02, AA, 44,    -75, 18:52:02, 
